"employees","salaries_2017","salary_adjustments","salaries_2018","pay_raise"
"Employee 1",40913.3483003825,-3940.6600757502,36972.6882246323,FALSE
"Employee 2",47114.2344991677,-1018.95170751959,46095.2827916481,FALSE
"Employee 3",41865.7046812586,-577.390890102834,41288.3137911558,FALSE
"Employee 4",40353.1087725423,1379.71499585547,41732.8237683978,TRUE
"Employee 5",42379.5204679482,9491.61503231153,51871.1355002597,TRUE
"Employee 6",44945.760583505,-4107.9237125814,40837.8368709236,FALSE
"Employee 7",46695.915244054,7329.98976949602,54025.9050135501,TRUE
"Employee 8",49216.8821720406,-2865.00676069409,46351.8754113466,FALSE
"Employee 9",41605.7935287245,6776.9454838708,48382.7390125953,TRUE
"Employee 10",41861.5292198956,-2102.03623631969,39759.4929835759,FALSE
"Employee 11",41269.032729324,-4948.47347959876,36320.5592497252,FALSE
"Employee 12",40184.1670833528,7791.53192299418,47975.699006347,TRUE
"Employee 13",44579.7461806796,-1854.72286422737,42725.0233164523,FALSE
"Employee 14",43038.6694800109,2529.06951936893,45567.7389993798,TRUE
"Employee 15",43921.4473729953,-3917.31986659579,40004.1275063995,FALSE
"Employee 16",48128.7066754885,-952.391164610162,47176.3155108783,FALSE
"Employee 17",46917.9389136843,3903.9170788601,50821.8559925444,TRUE
"Employee 18",44300.545877777,-976.596735417843,43323.9491423592,FALSE
"Employee 19",42617.6227489486,4268.38832790963,46886.0110768583,TRUE
"Employee 20",49583.0817520618,6856.11285967752,56439.1946117394,TRUE
"Employee 21",48714.2261117697,-1555.46852853149,47158.7575832382,FALSE
"Employee 22",47106.4997697249,-4980.60462879948,42125.8951409254,FALSE
"Employee 23",41009.3825752847,-4368.67178417742,36640.7107911073,FALSE
"Employee 24",42369.0722323954,4484.64082553983,46853.7130579352,TRUE
"Employee 25",45797.0414380543,2396.05959504843,48193.1010331027,TRUE
"Employee 26",40846.0920234211,-940.630593104288,39905.4614303168,FALSE
"Employee 27",41041.9681738131,-2724.41441309638,38317.5537607167,FALSE
"Employee 28",42416.2481888197,-4952.55485526286,37463.6933335569,FALSE
"Employee 29",45136.6917300038,32.7619351446629,45169.4536651485,TRUE
"Employee 30",49820.312471129,-4808.21654433385,45012.0959267952,FALSE
"Employee 31",43699.9888112769,2765.82438615151,46465.8131974284,TRUE
"Employee 32",46558.3541779779,-1375.39196177386,45182.962216204,FALSE
"Employee 33",47494.6640618145,34.5395586919039,47529.2036205065,TRUE
"Employee 34",46860.7769254595,-4066.75044563599,42794.0264798235,FALSE
"Employee 35",42570.1163057238,6806.30452814512,49376.4208338689,TRUE
"Employee 36",49098.318843171,-2443.90296633355,46654.4158768374,FALSE
"Employee 37",49842.7836084738,5288.89787383378,55131.6814823076,TRUE
"Employee 38",45064.8655579425,-2853.28315687366,42211.5824010689,FALSE
"Employee 39",48258.8323508389,412.186600733548,48671.0189515725,TRUE
"Employee 40",42353.1400528736,8607.25966864266,50960.3997215163,TRUE
"Employee 41",49011.4086098038,-3080.99890244193,45930.4097073618,FALSE
"Employee 42",42206.6149720922,-3952.20546633936,38254.4095057528,FALSE
"Employee 43",49029.3899551034,-1338.88169075362,47690.5082643498,FALSE
"Employee 44",42218.163756188,-529.964726883918,41688.1990293041,FALSE
"Employee 45",42832.2259802371,5068.91383323818,47901.1398134753,TRUE
"Employee 46",48981.66451836,3660.29885830358,52641.9633766636,TRUE
"Employee 47",43656.8609741516,8280.47358547337,51937.334559625,TRUE
"Employee 48",47904.4746980071,274.535152129829,48179.0098501369,TRUE
"Employee 49",47309.9217633717,3026.91867225803,50336.8404356297,TRUE
"Employee 50",44143.0129040964,-2233.8880575262,41909.1248465702,FALSE
"Employee 51",48504.7654970549,8104.26569660194,56609.0311936568,TRUE
"Employee 52",47789.9436745793,-3958.29262444749,43831.6510501318,FALSE
"Employee 53",41641.8038494885,9756.40394957736,51398.2077990659,TRUE
"Employee 54",49457.6498516835,2422.75869823061,51880.4085499141,TRUE
"Employee 55",40399.9929712154,3136.54783298261,43536.540804198,TRUE
"Employee 56",40645.9059356712,8845.05051770248,49490.9564533737,TRUE
"Employee 57",44725.1443821006,7525.24540061131,52250.3897827119,TRUE
"Employee 58",41580.3651185706,-2084.07841739245,39496.2867011782,FALSE
"Employee 59",46219.9013563804,4144.41740955226,50364.3187659327,TRUE
"Employee 60",41161.8939856999,5360.60426617041,46522.4982518703,TRUE
"Employee 61",49896.5622857213,7430.2834214177,57326.845707139,TRUE
"Employee 62",47023.8611637615,7989.86718757078,55013.7283513322,TRUE
"Employee 63",45831.166789867,7666.83701775037,53498.0038076174,TRUE
"Employee 64",47590.7208770514,4890.08852397092,52480.8094010223,TRUE
"Employee 65",44232.9602339305,-4098.39411382563,40134.5661201049,FALSE
"Employee 66",44052.0045743324,6661.87728871591,50713.8818630483,TRUE
"Employee 67",49024.6211737394,4001.32363312878,53025.9448068682,TRUE
"Employee 68",46250.4513887689,-1050.21333904006,45200.2380497288,FALSE
"Employee 69",45454.5452003367,7673.72748698108,53128.2726873178,TRUE
"Employee 70",48410.1395076141,1777.03752182424,50187.1770294383,TRUE
"Employee 71",47026.633459609,-1454.15809936821,45572.4753602408,FALSE
"Employee 72",42264.4290188327,6869.98413759284,49134.4131564256,TRUE
"Employee 73",43540.9374791197,1817.68638198264,45358.6238611024,TRUE
"Employee 74",44647.1836906858,1047.80436726287,45694.9880579486,TRUE
"Employee 75",46839.4266138785,-1679.36153011397,45160.0650837645,FALSE
"Employee 76",47742.1308355406,-6.73676026053727,47735.3940752801,FALSE
"Employee 77",42657.5064589269,3081.46814000793,45738.9745989349,TRUE
"Employee 78",46663.3529984392,2590.3361744713,49253.6891729105,TRUE
"Employee 79",41729.7844565473,2316.36086944491,44046.1453259923,TRUE
"Employee 80",49282.819298096,-3507.7191516757,45775.1001464203,FALSE
"Employee 81",45653.3894897439,4436.3588874694,50089.7483772133,TRUE
"Employee 82",46562.6017819159,-4759.74875851534,41802.8530234005,FALSE
"Employee 83",46328.7114095874,-4966.61864803173,41362.0927615557,FALSE
"Employee 84",43523.9744419232,9125.89510320686,52649.8695451301,TRUE
"Employee 85",45867.8365848027,1229.68951123767,47097.5260960404,TRUE
"Employee 86",45308.463126421,2095.66336125135,47404.1264876723,TRUE
"Employee 87",47304.5390355401,9270.74229693972,56575.2813324798,TRUE
"Employee 88",47249.9212343246,-473.456425825134,46776.4648084994,FALSE
"Employee 89",43136.6335018538,8154.84660910442,51291.4801109582,TRUE
"Employee 90",46111.6496101022,890.822116052732,47002.4717261549,TRUE
"Employee 91",41341.5082264692,-1097.56635967642,40243.9418667927,FALSE
"Employee 92",48641.7158134282,7539.92251819,56181.6383316182,TRUE
"Employee 93",47951.3940541074,5004.70504630357,52956.0991004109,TRUE
"Employee 94",48806.631907355,-3614.0130169224,45192.6188904326,FALSE
"Employee 95",40496.1458826438,768.77452316694,41264.9204058107,TRUE
"Employee 96",48631.6217342392,-2422.62419196777,46208.9975422714,FALSE
"Employee 97",47592.8739202209,-527.250191662461,47065.6237285584,FALSE
"Employee 98",48453.8492071442,-2728.85500569828,45724.994201446,FALSE
"Employee 99",44344.4588943385,2079.65992274694,46424.1188170854,TRUE
"Employee 100",41984.220566228,-4181.99223349802,37802.22833273,FALSE
